"","Value","Duration","Start","End","mean_x","mean_y","POGsdSacAmp","RMS","subj","trial_id","stim","session_id","Order","Trial"
"70","f",206.666666666667,12834.3333333333,13040,1262.7911219443,685.927858414188,0.524308111569466,0.3855077949372,"P","liceu","liceu",1,70,1
"72","f",80,13087.6666666667,13166.6666666667,808.451999346415,790.106851577759,0.337231256100471,0.244377435082538,"P","liceu","liceu",1,72,1
"74","f",540,13201,13740,324.322845082224,666.175066512308,0.472487825303167,0.320970826382,"P","liceu","liceu",1,74,1
"76","f",400,13761,14160,839.892479769389,794.553030904134,0.66860394728658,0.331734308903565,"P","liceu","liceu",1,76,1
"78","f",160,14187.6666666667,14346.6666666667,879.587600151698,639.723149617513,0.335345757237489,0.296557167588175,"P","liceu","liceu",1,78,1
"80","f",1860,14361,16220,853.954305442003,794.529677551707,0.543624775394784,0.364260938376051,"P","liceu","liceu",1,80,1
"82","f",226.666666666667,16294.3333333333,16520,900.051388333825,516.216335201965,0.386357834067174,0.385162593230665,"P","liceu","liceu",1,82,1
"84","f",193.333333333333,16527.6666666667,16720,907.233434658883,576.440875936171,0.311438296952448,0.374106208308659,"P","liceu","liceu",1,84,1
"86","f",906.666666666667,16741,17646.6666666667,843.599082526039,793.170701026917,0.654892450734809,0.330039370173474,"P","liceu","liceu",1,86,1
"88","f",406.666666666667,17654.3333333333,18060,892.21817693554,854.89631102515,0.462161626058219,0.248462320410672,"P","liceu","liceu",1,88,1
